id;IC;PTR;NRz;DRY;DMCsg;PPA;PA;PRz
BGM-1876;BGM-1876;51.9653796770903;25.7013697659353;3.173737732304;8.59486691068481;37.6242061664585;21.514022433737;4.20272852999301;1.3178591836597
BGM-1884;BGM-1884;33.737512985729;13.8244455735855;2.88384960057993;3.3577662683584;28.3564146081612;22.493866121835;3.59934038237775;1.09256953870196
BGM-1942;BGM-1942;46.9971970974654;28.3809789684239;3.31046058004258;6.7391091605397;28.8918874242682;28.2538934972944;2.88639966453997;1.19533323640198
BGM-2050;BGM-2050;28.1509766949995;7.47881339595963;2.37687964631703;2.52228095464134;31.7254389578046;15.667424632684;3.87379030645656;0.370662901442939
BGM-2065;BGM-2065;63.6822171377111;25.3450064849275;3.76171236139432;7.05948450236378;32.785610367823;14.4904438707965;2.76924780730267;1.91467912030212
BGM-2078;BGM-2078;58.1062393438809;16.3579445553463;2.9975862725984;4.83622169425814;33.0336339425915;10.83418620071;2.44927008614708;0.855422544009612
BGM-2110;BGM-2110;63.4684447709909;15.0942927332285;3.42467988562652;4.19976325401731;31.6592293129697;10.9253200168593;4.34598717502547;1.16372249502049
BGM-2119;BGM-2119;49.8499174375932;15.4860263797904;4.54192447593296;4.83014626757653;34.6588411175343;17.0949271676117;2.88974199964826;0.822313296601992
BGM-2121;BGM-2121;46.4885223715902;33.1941731127677;4.30525257019083;10.0930452249265;35.3480505219941;39.1441205016318;3.51220572078486;1.47990963003281
BGM-2341;BGM-2341;46.2975257739142;24.8248908614332;3.86013486145904;8.10886242221801;37.907985148567;28.1739212015032;2.09286356306711;1.78042639680438
BR-11-34-69;BR-11-34-69;61.6001190784147;38.6567440256713;5.19396225971665;10.7599515063595;32.3330169560712;24.2522885048692;2.48707066642674;2.01877980300378
BR-11S1-52-10;BR-11S1-52-10;34.0034700549756;15.9439618629564;3.34374330542036;5.31787883563374;37.8962305967911;27.5722148868445;2.80200093238045;1.6666999213591
BRS-Caipira;BRS-Caipira;52.6178422403508;35.3682232296204;6.61773236220234;11.7969963625616;37.6256779476471;32.4492250694031;3.10218205412548;1.71932565054514
BRS-Formosa;BRS-Formosa;61.3773314567605;27.8273292463904;5.22837855200947;8.58462762242895;35.4868422164512;18.229026079566;2.371428840604;1.40353763522512
