id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;MosNv;RF;AcSev
BGM-1116;BGM-1116;2.99917753652494;4.43120210764657;4.47159600524529;0.964486266785049;2.16066196603686;1.21868716262727;0.0231347958245961;1.90002614163616;2.76220264200267
BGM-1120;BGM-1120;3.88412067012959;4.43120210764657;4.47159600524529;2.41022902213112;1.94866332880533;0.366364092574261;0.39286065685563;2.05851684153002;3.08859098226073
BGM-1126;BGM-1126;2.99917753652494;2.01844853703673;2.05683542678299;1.68735764445808;1.93438818567105;0.598440424093846;0.0427063238500212;2.1654810509504;3.00699389719621
BGM-1134;BGM-1134;2.1142344029203;4.69928583771433;4.73990273618555;0.964486266785049;1.90822243064634;0.442238465025229;0.0231347958245961;2.19638658909459;3.33338223745427
BGM-1141;BGM-1141;2.99917753652494;3.09078345730777;3.13006235054401;0.964486266785049;2.27866073124385;0.3509332997916;0.0231347958245961;1.8005168908016;3.65977057771233
BGM-1143;BGM-1143;2.99917753652494;4.69928583771433;4.47159600524529;1.44640051856707;2.59750026418296;0.355450935688322;0.0231347958245961;1.90812376602868;3.17018806732524
BGM-1164;BGM-1164;2.1142344029203;2.28653226710449;2.32514215772324;0.964486266785049;2.49060051830832;0.354808559525305;0.299049617489547;2.20716248823885;2.59900847187364
BGM-1198;BGM-1198;1.68438279183562;2.99790706512775;2.98720455415069;0.85914863572377;2.09396266031268;0.576868375175165;0.0555626760673795;1.8023384241717;3.29161395025229
BGM-1200;BGM-1200;5.22415532625421;5.41066063573758;5.40196513261299;4.71446264997995;2.35067308704966;0.36294472852728;0.0427063238500212;1.9931096062252;2.8020314398652
BGM-1252;BGM-1252;3.45426905904492;2.99790706512775;2.98720455415069;1.34106288750579;2.09396266031268;0.371100516557565;0.280202565037718;1.57548076668926;3.78119646063937
BGM-1280;BGM-1280;2.56932592544027;2.99790706512775;2.98720455415069;1.34106288750579;2.38923066993242;0.346141607428409;0.00428774337276751;1.81664550057145;2.47241369519848
BGM-1286;BGM-1286;1.68438279183562;3.26599079519551;3.79212474697146;2.30489139106984;1.7461515991149;0.351871695019265;0.00428774337276751;1.68897192302734;3.61800229051034
BGM-1300;BGM-1300;3.45426905904492;2.99790706512775;2.98720455415069;1.34106288750579;2.5766591508983;0.33945502036871;0.296677130051159;2.47865982135242;2.35650754503955
BGM-1315;BGM-1315;3.1687101032155;3.3288248891256;3.34064702114419;1.48584442338413;2.60191699712218;0.895964172585324;0.00428774337276751;2.47762100122336;2.55724018467166
BGM-1360;BGM-1360;3.1687101032155;3.3288248891256;3.34064702114419;1.48584442338413;1.95184686062615;0.719862529525864;-0.0147128251086481;1.83680348189207;3.1736915997287
BGM-1395;BGM-1395;5.67777506171589;3.3288248891256;3.34064702114419;1.48584442338413;2.07891228755134;0.250546387991728;0.00428774337276751;1.59162323683054;3.58167702505127
BGM-1407;BGM-1407;2.72796461636707;1.48379323321448;1.38909466451015;1.1267382728881;2.21402254112772;0.353359528780124;0.117185045565082;1.91523199885695;2.84730325947064
BGM-1447;BGM-1447;4.79283192811124;3.89654680382432;4.07216197391271;2.09056677645215;2.83508230120603;0.358887748716558;0.204020988850874;2.45564021074106;3.01049742959967
BGM-1457;BGM-1457;3.90788879450659;2.55612815348552;2.73062831921143;1.60865252467013;2.1478621119818;0.505120185976725;0.204020988850874;2.19578277547566;3.41848285492224
BGM-1458;BGM-1458;3.02294566090195;2.82421188355328;2.99893505015169;0.885781146997094;2.08759905430307;0.378024032122059;0.021917206552007;2.69845110543832;3.09209451466419
BGM-1498;BGM-1498;2.85126393312267;2.59936507733576;2.5231456459331;1.44445586438483;1.85161073422041;0.355869385444863;0.021917206552007;1.55219915442679;3.82355332863401
BGM-1535;BGM-1535;2.83169346798938;3.56019904582336;3.77260886877139;1.15809226084448;1.90824859016053;0.359344992805773;0.297832028216957;1.86541953338643;3.24402257783934
BGM-1606;BGM-1606;5.80107437847149;3.3288248891256;3.34064702114419;1.48584442338413;1.92111310843871;0.886482439342492;0.0212539645034927;1.60618944112622;2.73326033228523
BGM-1613;BGM-1613;4.91613124486685;3.6716999976068;3.59637256969412;2.40828436794887;2.29462658166073;0.415210728403631;0.0555626760673795;1.85283703452124;2.89645450241425
BGM-1631;BGM-1631;4.0311881112622;4.20786745774232;4.40129276251489;2.16732724205786;2.20584051797178;0.982764015336541;0.0308714863183872;1.86552866941574;3.38603701280134
BGM-1638;BGM-1638;2.26130184405291;3.13553253747128;2.5231456459331;1.68541299027584;2.84709407276251;0.373332839399274;0.021917206552007;2.69867456569485;2.65166324722071
BGM-1645;BGM-1645;3.14624497765755;2.86744880740352;2.79145237687336;1.68541299027584;2.22516304398871;0.371999954809341;0.573746849881908;2.34995135519817;2.65166324722071
BGM-1646;BGM-1646;5.80107437847149;3.3288248891256;3.34064702114419;1.48584442338413;2.48461484131926;0.371053032203617;0.021917206552007;2.79781236270494;3.22284284267231
BGM-1661;BGM-1661;3.14624497765755;4.74403491787784;4.66959949345515;1.20349873849382;2.08549776966046;0.363362100368989;0.0426526216934729;1.61541840270308;2.65166324722071
BGM-1682;BGM-1682;3.57341330816573;2.57627190459597;2.57971803128305;1.46851523360426;2.30406420789694;0.951486065397459;0.0426526216934729;2.10759035696239;2.90634021540352
BGM-1698;BGM-1698;2.68847017456108;4.72094174513805;4.72617187880509;3.15521511484133;2.42234899974649;0.465639262186675;0.0308714863183872;2.13930842850021;2.66154896020998
BGM-1710;BGM-1710;4.45835644177038;3.91669055493477;4.18955841692458;1.22755810771324;2.3046993682607;0.292724848153781;0.0426526216934729;1.97994073399764;3.31432564072609
BGM-1742;BGM-1742;3.57341330816573;4.18477428500253;4.45786514786484;1.70947235949527;1.92705496720258;0.849653864117406;0.0555626760673795;1.62582777111654;2.8523934035908
