Trial	plot_name	Clone	data	Use	Plot	TCC
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1614.1152	BGM-1614			1152	6.394880368
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.IAC-576.1161	IAC-576			1161	7.048888887
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-396.1165	BRS-396			1165	8.203312268
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1629.1168	BGM-1629			1168	6.716210878
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1631.1169	BGM-1631			1169	5.930570087
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1635.1174	BGM-1635			1174	6.851987609
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1636.1175	BGM-1636			1175	6.772717289
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1639.1178	BGM-1639			1178	6.633542235
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1639.1179	BGM-1639			1179	7.013598441
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1646.1186	BGM-1646			1186	6.627850893
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1648.1187	BGM-1648			1187	6.587276698
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1650.1189	BGM-1650			1189	6.684783252
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1657.1192	BGM-1657			1192	6.369451124
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1659.1195	BGM-1659			1195	8.114207067
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1660.1197	BGM-1660			1197	6.335840672
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1660.1198	BGM-1660			1198	6.790047677
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1661.1199	BGM-1661			1199	6.703418915
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1662.1200	BGM-1662			1200	7.341623407
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1666.1201	BGM-1666			1201	7.299711098
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1667.1202	BGM-1667			1202	7.559908438
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1668.1203	BGM-1668			1203	7.730370389
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1669.1205	BGM-1669			1205	7.281815025
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1672.1207	BGM-1672			1207	6.142527871
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1674.1208	BGM-1674			1208	7.843373656
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1675.1210	BGM-1675			1210	7.5189338
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1678.1213	BGM-1678			1213	6.608412129
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1679.1215	BGM-1679			1215	7.728860138
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Equador72.1216	Equador72			1216	6.41593236
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1680.1218	BGM-1680			1218	6.633717
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1682.1221	BGM-1682			1221	7.789735676
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1685.1225	BGM-1685			1225	6.510021414
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1690.1228	BGM-1690			1228	7.448088876
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1692.1230	BGM-1692			1230	7.951508731
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1698.1235	BGM-1698			1235	6.697456225
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1700.1238	BGM-1700			1238	11.46404801
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1701.1240	BGM-1701			1240	11.82937106
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1702.1241	BGM-1702			1241	11.03528063
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1704.1243	BGM-1704			1243	11.32728955
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1705.1244	BGM-1705			1244	11.77792864
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1706.1245	BGM-1706			1245	7.540102853
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1708.1247	BGM-1708			1247	11.3608029
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1709.1248	BGM-1709			1248	11.56302254
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1710.1251	BGM-1710			1251	10.42931375
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1712.1253	BGM-1712			1253	10.67334999
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1715.1254	BGM-1715			1254	6.573835057
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Eucalipto.1255	Eucalipto			1255	7.43930998
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1716.1256	BGM-1716			1256	7.962298929
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1721.1258	BGM-1721			1258	8.064547839
